source,class_name,object_id,split,status,crop,confidence,prompt,box
C:\Users\PKNU-ICEE\Desktop\project\용기\2.1.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.1.jpg,0.072883,plastic box,"[45, 107, 157, 179]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.10.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.10.jpg,0.122641,food bowl,"[82, 111, 206, 201]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.2.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.2.jpg,0.070241,plastic box,"[67, 114, 179, 184]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.3.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.3.jpg,0.088318,plastic box,"[74, 119, 168, 208]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.4.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.4.jpg,0.105549,food bowl,"[85, 118, 192, 193]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.5.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.5.jpg,0.112182,food bowl,"[71, 129, 207, 197]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.6.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.6.jpg,0.156282,food bowl,"[69, 113, 172, 183]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.7.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.7.jpg,0.067202,plastic box,"[54, 110, 176, 207]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.8.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.8.jpg,0.025443,food bowl,"[60, 106, 216, 209]"
C:\Users\PKNU-ICEE\Desktop\project\용기\2.9.jpg,food_container,2,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\2__2.9.jpg,0.081992,food bowl,"[61, 87, 200, 168]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.1.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.1.jpg,0.239662,plastic box,"[53, 94, 187, 184]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.10.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.10.jpg,0.099447,plastic box,"[80, 108, 186, 207]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.2.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.2.jpg,0.071696,plastic box,"[88, 100, 200, 194]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.3.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.3.jpg,0.098327,plastic box,"[74, 110, 209, 191]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.4.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.4.jpg,0.237529,plastic box,"[91, 107, 191, 190]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.5.jpg,food_container,3,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared\train\food_container\3__3.5.jpg,0.109291,food bowl,"[0, 98, 40, 138]"
C:\Users\PKNU-ICEE\Desktop\project\용기\3.6.jpg,food_container,3,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\용기\3.7.jpg,food_container,3,train,rejected,,,,
