source,class_name,object_id,split,status,crop,confidence,prompt,box
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (1).jpg,food_container,원형용기,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (10).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (10).jpg,0.239290,food bowl,"[0, 51, 207, 196]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (100).jpg,food_container,원형용기,train,rejected,,,,
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (11).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (11).jpg,0.231137,food bowl,"[0, 57, 202, 201]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (12).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (12).jpg,0.243061,food bowl,"[0, 62, 240, 240]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (13).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (13).jpg,0.179140,food bowl,"[0, 71, 239, 240]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (14).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (14).jpg,0.217043,food bowl,"[0, 70, 234, 240]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (15).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (15).jpg,0.049069,food bowl,"[0, 32, 209, 240]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (16).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (16).jpg,0.038209,plastic box,"[0, 0, 240, 75]"
C:\Users\PKNU-ICEE\Desktop\project\학습용 데이터\밥용기\원형용기 (17).jpg,food_container,원형용기,train,accepted,C:\Users\PKNU-ICEE\Desktop\project\category_dataset_prepared_v2\train\food_container\원형용기__원형용기 (17).jpg,0.090091,food storage container,"[47, 5, 240, 222]"
