timestamp,event,container_id,similarity,detection_confidence,detail
2026-08-21T18:29:05.205+09:00,registration_failed,,,,no detection
2026-08-21T20:51:46.907+09:00,registration_failed,,,,no detection
2026-08-21T20:58:49.957+09:00,registration_failed,,,,captured=60 detected=0
2026-08-21T21:07:46.671+09:00,registered,Container_001,,0.045920,captured=100 quality=39 detected=39 representatives=1
2026-08-21T21:08:58.303+09:00,no_detection,,,,
2026-08-21T21:09:17.852+09:00,no_detection,,,,
2026-08-21T21:09:35.693+09:00,unknown,,,0.086745,
2026-08-21T21:09:43.612+09:00,unknown,,,0.083443,
2026-08-21T21:09:59.810+09:00,unknown,,0.398147,0.097433,
2026-08-21T21:21:44.075+09:00,registered,Container_001,,0.039752,captured=100 detected=100 stored=100
2026-08-21T21:24:21.770+09:00,unknown,,0.161587,0.058120,dino=0.058465633541345596 color=0.2647090454896291
2026-08-21T21:24:31.845+09:00,unknown,,0.466563,0.095597,dino=0.2999941011269887 color=0.6331312656402588
2026-08-21T21:24:33.355+09:00,matched,Container_001,0.833560,0.052865,dino=0.7499372561772665 color=0.9171826839447021
2026-08-21T21:24:34.804+09:00,unknown,,0.452576,0.060614,dino=0.2795332372188568 color=0.6256196896235148
2026-08-21T21:24:36.310+09:00,unknown,,0.461382,0.069083,dino=0.28215500712394714 color=0.6406098206837972
2026-08-21T21:24:37.541+09:00,unknown,,0.435909,0.057439,dino=0.2421014408270518 color=0.6297164360682169
2026-08-21T21:24:38.828+09:00,unknown,,0.438317,0.036748,dino=0.24294930696487427 color=0.6336847146352133
2026-08-21T21:24:46.511+09:00,unknown,,0.233225,0.163735,dino=0.13347496589024863 color=0.3329758544762929
2026-08-21T21:24:47.950+09:00,unknown,,0.130932,0.212877,dino=0.072822372118632 color=0.18904090921084085
2026-08-21T21:24:50.245+09:00,unknown,,0.202789,0.070729,dino=0.27682286500930786 color=0.12875461330016455
2026-08-21T21:24:53.093+09:00,unknown,,0.186861,0.094148,dino=0.06424322227636974 color=0.3094788392384847
2026-08-21T21:24:57.377+09:00,unknown,,0.186861,0.094148,dino=0.06424322227636974 color=0.3094788392384847
2026-08-21T21:24:59.182+09:00,unknown,,0.186861,0.094148,dino=0.06424322227636974 color=0.3094788392384847
2026-08-21T21:25:00.530+09:00,unknown,,0.186861,0.094148,dino=0.06424322227636974 color=0.3094788392384847
2026-08-21T21:25:04.481+09:00,unknown,,0.186861,0.094148,dino=0.06424322227636974 color=0.3094788392384847
2026-08-21T21:35:00.290+09:00,registered,Container_001,,0.086150,captured=100 accepted=100 stored=100 debug=C:\Users\PKNU-ICEE\Desktop\project\v2_registration_debug\Container_001_20260821_213459
2026-08-21T21:35:47.978+09:00,matched,Container_001,0.969314,0.067105,dino=0.9610893527666727 color=0.9775384664535522
2026-08-21T21:35:57.020+09:00,matched,Container_001,0.954516,0.041211,dino=0.9252250790596008 color=0.9838074445724487
2026-08-21T21:36:03.682+09:00,no_detection,,,,
2026-08-21T21:36:09.410+09:00,matched,Container_001,0.641894,0.020809,dino=0.7135617335637411 color=0.5702260335286459
2026-08-21T21:36:27.711+09:00,matched,Container_001,0.809800,0.029543,dino=0.7514996528625488 color=0.868100643157959
2026-08-21T21:36:35.544+09:00,matched,Container_001,0.719251,0.105845,dino=0.6187434593836466 color=0.8197578191757202
2026-08-21T21:36:39.324+09:00,matched,Container_001,0.692570,0.099165,dino=0.5580010016759237 color=0.8271387815475464
2026-08-21T21:36:45.428+09:00,no_detection,,,,
2026-08-21T21:36:47.746+09:00,no_detection,,,,
2026-08-21T21:37:00.217+09:00,matched,Container_001,0.617188,0.038749,dino=0.7158660292625427 color=0.518509030342102
2026-08-21T21:37:05.121+09:00,matched,Container_001,0.737759,0.320657,dino=0.6562122106552124 color=0.8193063735961914
2026-08-21T21:37:09.809+09:00,matched,Container_001,0.950130,0.034970,dino=0.9179027080535889 color=0.9823580980300903
2026-08-21T21:37:15.415+09:00,no_detection,,,,
2026-08-21T21:37:36.669+09:00,matched,Container_001,0.583073,0.227095,dino=0.5332707166671753 color=0.6328749656677246
2026-08-21T21:37:41.084+09:00,no_detection,,,,
2026-08-21T21:37:42.682+09:00,matched,Container_001,0.632028,0.382228,dino=0.5545367995897929 color=0.709518293539683
2026-08-21T21:37:49.987+09:00,matched,Container_001,0.652751,0.141500,dino=0.6910983324050903 color=0.6144027908643087
2026-08-21T21:37:53.302+09:00,matched,Container_001,0.643091,0.094639,dino=0.6899292469024658 color=0.5962527195612589
2026-08-21T21:37:58.839+09:00,matched,Container_001,0.702376,0.047579,dino=0.669849673906962 color=0.7349032958348592
2026-08-21T21:38:02.714+09:00,matched,Container_001,0.715443,0.033410,dino=0.6991731921831766 color=0.7317121823628744
2026-08-21T21:47:27.939+09:00,registration_failed,,,,captured=100 detected=0
2026-08-21T21:49:01.853+09:00,registered,Container_001,,0.267848,captured=100 accepted=63 stored=63 debug=C:\Users\PKNU-ICEE\Desktop\project\v2_registration_debug\Container_001_20260821_214901
2026-08-21T21:49:31.262+09:00,matched,Container_001,0.753971,0.026896,dino=0.5949023564656576 color=0.9130390485127767
2026-08-21T21:49:36.706+09:00,matched,Container_001,0.718946,0.027220,dino=0.6870065927505493 color=0.7508851289749146
2026-08-21T21:49:48.300+09:00,matched,Container_001,0.852526,0.173863,dino=0.8062813679377238 color=0.8987707297007242
2026-08-21T21:49:53.899+09:00,matched,Container_001,0.662960,0.034881,dino=0.5829431613286337 color=0.7429759502410889
2026-08-21T21:51:09.464+09:00,registered,Container_002,,0.272554,captured=100 accepted=59 stored=59 debug=C:\Users\PKNU-ICEE\Desktop\project\v2_registration_debug\Container_002_20260821_215108
2026-08-21T21:51:55.758+09:00,no_detection,,,,
2026-08-21T21:51:58.851+09:00,no_detection,,,,
2026-08-21T21:52:04.733+09:00,matched,Container_002,0.849518,0.247686,dino=0.7769428888956705 color=0.9220936497052511
2026-08-21T21:52:07.334+09:00,matched,Container_002,0.883396,0.098281,dino=0.874308705329895 color=0.8924824595451355
2026-08-21T21:52:23.190+09:00,matched,Container_002,0.816678,0.064582,dino=0.8196366230646769 color=0.8137203653653463
2026-08-21T21:53:34.424+09:00,registered,Container_003,,0.693798,captured=100 accepted=81 stored=81 debug=C:\Users\PKNU-ICEE\Desktop\project\v2_registration_debug\Container_003_20260821_215333
2026-08-21T21:53:38.386+09:00,matched,Container_003,0.946644,0.141283,dino=0.8975204229354858 color=0.9957678914070129
2026-08-21T21:53:40.807+09:00,matched,Container_003,0.763431,0.339248,dino=0.6724159717559814 color=0.8544455170631409
2026-08-21T21:53:42.315+09:00,no_detection,,,,
2026-08-21T21:53:46.037+09:00,matched,Container_003,0.834646,0.041115,dino=0.8600502212842306 color=0.809241533279419
2026-08-21T21:53:49.704+09:00,no_detection,,,,
2026-08-21T21:53:51.513+09:00,no_detection,,,,
2026-08-21T21:53:58.004+09:00,matched,Container_003,0.651316,0.044830,dino=0.7187023957570394 color=0.5839305520057678
2026-08-21T21:53:59.796+09:00,no_detection,,,,
2026-08-21T21:54:02.725+09:00,matched,Container_003,0.692324,0.020431,dino=0.4502074718475342 color=0.9344408512115479
